"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "XML", "YAML", "Java Properties", "Markdown", "Java", "JSON", "HTML", "Batch", "comment", "blank", "total"
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\RoomCarousel.jsx", "JavaScript JSX", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 75
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\RoomFilter.jsx", "JavaScript JSX", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\RoomPaginator.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\RoomSearch.jsx", "JavaScript JSX", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 135
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\RoomSearchResult.jsx", "JavaScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\common\RoomTypeSelector.jsx", "JavaScript JSX", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 73
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\home\Home.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\layout\Footer.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\layout\MainHeader.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\layout\NavBar.jsx", "JavaScript JSX", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 96
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\room\AddRoom.jsx", "JavaScript JSX", 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 148
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\room\EditRoom.jsx", "JavaScript JSX", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 140
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\room\ExitsingRooms.jsx", "JavaScript JSX", 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 152
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\room\Room.jsx", "JavaScript JSX", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 81
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\room\RoomCard.jsx", "JavaScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\room\RoomListing.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\components\utils\ApiFunctions.jsx", "JavaScript JSX", 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 23, 232
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\index.css", "CSS", 0, 0, 529, 0, 0, 0, 0, 0, 0, 0, 0, 19, 113, 661
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\src\main.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\Client\lakeSide-hotel\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 51, 37, 206
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\pom.xml", "XML", 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 6, 112
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\LakeSideHotelApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 14
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\ServletInitializer.java", "Java", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 14
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\controller\AuthController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 7, 63
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\controller\BookingController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 10, 97
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\controller\DiscountController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 8, 66
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\controller\HotelController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 8, 90
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\controller\RatingController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\controller\RoleController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 12, 62
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\controller\RoomController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 14, 144
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\controller\UserController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 6, 51
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\exeption\InternalServerException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\exeption\InvalidBookingRequestException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\exeption\InvalidDiscountRequestException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\exeption\InvalidHotelRequestException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\exeption\PhotoRetrievalExcetion.java", "Java", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\exeption\ResourceNotFoundException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\exeption\RoleAlreadyExistException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\exeption\UserAlreadyExistsException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\model\BookedRoom.java", "Java", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 21, 83
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\model\Discount.java", "Java", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\model\Hotel.java", "Java", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 7, 38
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\model\Rating.java", "Java", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 6, 31
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\model\Role.java", "Java", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 3, 9, 54
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\model\Room.java", "Java", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 11, 61
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\model\User.java", "Java", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 8, 53
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\repository\BookingRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 6, 16
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\repository\DiscountRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\Users\ADMIN\OneDrive\Desktop\MiniProject\BookingHotelWeb\lakeSide-hotel\src\main\java\com\example\CoutingStarHotel\repository\HotelRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
